Year,Jurisdiction,Average
2006,International Average (OECD Countries),503.165232822168
2006,Average of the Selected Jurisdictions,528.12426874033
2006,Australia,465.461520043547
2006,Austria,506.601296651235
2006,Belgium,502.746177435327
2006,Canada,469.266340743917
2006,Chile,590.885117808621
2006,Czech Republic,489.160831622888
2006,Denmark,463.092941983463
2006,Estonia,502.405201643552
2006,Finland,448.133074523983
2006,France,520.028492217345
2006,Germany,512.751385796261
2006,Greece,548.54723967435
2006,Hungary,521.821187680018
2006,Iceland,465.951429353648
2006,Ireland,481.223047248182
2006,Israel,508.861504949254
2006,Italy,529.291678313792
2006,Japan,511.707728150404
2006,"Korea, Republic of",485.517152009915
2006,Latvia,503.63728102099
2006,Luxembourg,514.618316355668
2006,Mexico,610.972275246013
2006,Netherlands,451.542804696301
2006,New Zealand,461.204346460896
2006,Norway,472.190954924363
2006,Poland,500.669063687855
2006,Portugal,570.580245020275
2006,Slovak Republic,521.642965385606
2006,Slovenia,504.922083613958
2006,Spain,534.345745892426
2006,Sweden,454.141128132458
2006,Switzerland,503.569779902304
2006,Turkey,539.923761315018
2006,United Kingdom,463.741360481252
2006,United States,479.627688790794
2006,Albania,NA
2006,Algeria,NA
2006,Argentina,567.210113167974
2006,Azerbaijan,611.607896584952
2006,Brazil,592.200761403167
2006,B-S-J-G (China),NA
2006,Buenos Aires - Argentina,NA
2006,Bulgaria,522.576707644647
2006,Chinese Taipei,533.27125658943
2006,Colombia,643.514938249814
2006,Costa Rica,NA
2006,Croatia,535.412532975292
2006,Cyprus,NA
2006,Dominican Republic,NA
2006,Dubai-United Arab Emirates,NA
2006,Georgia,NA
2006,Hong Kong - China,536.058251444449
2006,Indonesia,607.945448516664
2006,Jordan,609.16405201972
2006,Kazakhstan,NA
2006,Kosovo,NA
2006,Kyrgyz Republic,580.210307724305
2006,Lebanon,NA
2006,Liechtenstein,504.111111088717
2006,Lithuania,544.438957377279
2006,Macao - China,523.574423205145
2006,"Macedonia, Republic of",NA
2006,Malaysia,NA
2006,Malta,NA
2006,"Moldova, Republic of",NA
2006,"Montenegro, Republic of",560.853485951796
2006,Panama,NA
2006,Peru,NA
2006,Qatar,565.303943519043
2006,Romania,591.344100421063
2006,Russian Federation,541.307556039477
2006,Serbia and Montenegro,NA
2006,"Serbia, Republic of",522.594364043584
2006,Shanghai - China,NA
2006,Singapore,NA
2006,Thailand,642.106470509394
2006,Trinidad and Tobago,NA
2006,Tunisia,590.440931936388
2006,United Arab Emirates,NA
2006,Uruguay,567.052559010644
2006,Vietnam,NA
